    11.80  42.05    5  0.24354E+05 8552
    12.30  44.65    3  0.24406E+05 8554
    12.40  45.05    2  0.26118E+05 8555
    17.20  39.05    5  0.26508E+05 8556
    13.60  45.55    1  0.33789E+05 8559
    9.10  39.15    1  0.34787E+05 8560
    12.70  45.45    2  0.23451E+05 8561
    14.30  40.75    5  0.25050E+05 8562
    12.50  38.05    3  0.28219E+05 8563
    13.40  43.65    3  0.27700E+05 8564
    13.10  43.85    5  0.27049E+05 8566
    13.90  43.15    4  0.25322E+05 8567
    8.40  44.15    2  0.21686E+05 8569
    12.20  41.75    5  0.28022E+05 8570
    15.30  37.15    3  0.24296E+05 8571
    12.80  41.35    7  0.25470E+05 8572
    10.70  42.85    3  0.23694E+05 8573
    13.90  40.75    2  0.29598E+05 8574
    13.60  41.25    4  0.25179E+05 8575
    10.10  43.95    1  0.30676E+05 8576
    14.30  42.45    3  0.25456E+05 8578
    16.00  39.35    1  0.32579E+05 8579
    13.60  41.25    3  0.23329E+05 8581
    17.90  40.05    3  0.22837E+05 8583
    14.20  37.05    6  0.24689E+05 8584
    9.10  44.35   13  0.25930E+05 8585
    15.30  37.75    1  0.36969E+05 8586
    15.20  37.75    3  0.27617E+05 8587
    15.90  38.45    2  0.31161E+05 8588
    16.70  41.25    3  0.22525E+05 8589
    14.00  42.75    3  0.24719E+05 8590
    13.90  42.95    2  0.27287E+05 8594
    12.70  45.45    3  0.25969E+05 8595
    8.00  43.75    4  0.27064E+05 8596
    13.80  40.75    2  0.31397E+05 8597
    8.30  39.05    1  0.26110E+05 8598
    9.80  40.65    2  0.21585E+05 8599
    9.50  41.25    2  0.22040E+05 8600
    9.90  44.05    6  0.27170E+05 8601
    12.00  41.95    4  0.26290E+05 8602
    9.30  44.25    2  0.23631E+05 8604
    9.90  44.05    2  0.19784E+05 8605
    15.40  41.95    1  0.25962E+05 8606
    13.90  37.05    4  0.25843E+05 8608
    10.20  43.85    4  0.22944E+05 8609
    16.90  40.35    2  0.22519E+05 8610
    12.30  41.65   32  0.26033E+05 8611
    17.30  40.35    2  0.20504E+05 8612
    13.10  45.55    1  0.26974E+05 8613
    15.00  38.45    2  0.21070E+05 8614
    10.30  43.45    8  0.25075E+05 8615
    8.30  44.15    2  0.21959E+05 8616
    16.30  38.25    2  0.23452E+05 8617
    13.70  43.45    2  0.22679E+05 8618
    16.00  41.65    5  0.25584E+05 8620
